trace_id,created_tw,total_ms,llm_model,worker,pre_agent_ms,llm_total_ms,llm_calls,tool_ms,tail_ms,input_tokens,output_tokens,fast_path,escalated
99fdf0d4-28a5-43a8-a656-31a89306ce52,2026-07-17 13:54:26,6818,gpt-5.4,✓ 分流結果：門市服務查詢,47,4372,2,847,1548,4654,418,f,f
43968acc-ef26-4294-ad1d-9f1a0bd8d72e,2026-07-17 17:27:48,8389,gpt-5.4,✓ 分流結果：閒聊,3995,2545,1,,1847,514,39,f,f
e4b846fd-4274-4739-960c-e62e62a8218c,2026-07-17 17:28:33,3784,gpt-5.4,✓ 分流結果：閒聊,40,2050,1,,1693,574,74,f,f
6532c945-8be3-4273-a86b-8c64e60376fb,2026-07-17 17:28:44,4177,gpt-5.4,✓ 分流結果：閒聊,46,2568,1,,1562,662,96,f,f
00c8238e-4cd5-49b8-9bc2-302954f5b944,2026-07-17 17:29:19,4324,gpt-5.4,,47,2691,1,,1585,2176,94,f,f
5244d3a4-7aac-46b0-a911-615a0ce65ca3,2026-07-17 17:29:34,4191,gpt-5.4,,55,2728,1,,1408,2279,98,f,f
e5b1baf6-7786-479d-8b42-e7275c892241,2026-07-17 17:30:05,9554,gpt-5.4,✓ 分流結果：商品查詢,60,4275,2,3305,1911,3592,121,f,f
c8b55b56-da3d-4f37-8593-3d0e96c8f30f,2026-07-17 17:30:28,5931,gpt-5.4,✓ 分流結果：商品查詢,51,2950,2,1244,1682,4295,88,f,f
eeddae70-7477-4023-8841-2267a2e99443,2026-07-17 17:30:59,7554,gpt-5.4,✓ 分流結果：商品查詢,56,4154,2,450,2890,4956,192,f,f
44de4bf3-3947-4e01-bce7-8d782bef6496,2026-07-20 13:12:24,19824,gpt-5.4,✓ 分流結果：高階客服,72,6575,2,4818,8354,3473,189,f,f
ab822a7f-28a7-4b41-9af8-f9088b300344,2026-07-20 13:15:15,7211,gpt-5.4,✓ 分流結果：高階客服,58,4117,2,1394,1638,4277,182,f,f
473ccae7-c4f8-45d6-ae16-3b52cee442b4,2026-07-20 13:15:45,9557,gpt-5.4,✓ 分流結果：高階客服,66,3620,2,628,5239,4005,122,f,f
3887d20d-8193-405f-bd3c-d0eb49da57b3,2026-07-20 13:17:05,6674,gpt-5.4,✓ 分流結果：商品查詢,58,4158,2,893,1552,3723,138,f,f
d1086425-26ef-4709-962f-7a4f3b1fc84a,2026-07-20 13:18:14,6473,gpt-5.4,✓ 分流結果：商品查詢,64,3669,2,1130,1606,4481,116,f,f
61a33cc7-2228-4f25-9ef3-8b33e00d085e,2026-07-20 13:18:52,7585,gpt-5.4,✓ 分流結果：門市服務查詢,44,5418,2,718,1400,4697,415,f,f
b87d9ca0-67ce-4b44-b6eb-5cdca5bd4236,2026-07-21 11:22:23,15814,gpt-5.4,✓ 分流結果：門市服務查詢,4715,5416,2,4064,1612,3122,400,f,f
49d55154-491a-4ae6-9010-85582584ff74,2026-07-21 11:24:22,7568,gpt-5.4,✓ 分流結果：門市服務查詢,44,4645,2,1444,1432,3920,400,f,f
ebd7ae63-40d0-4054-98eb-5ad7c3acbfbc,2026-07-21 11:29:09,6926,gpt-5.4,✓ 分流結果：門市服務查詢,56,4796,2,670,1400,4698,394,f,f
fa530c92-c809-4030-83ba-f6dd16b0c994,2026-07-21 11:31:10,7837,gpt-5.4,✓ 分流結果：門市服務查詢,58,4771,2,1549,1456,5464,394,f,f
c080f267-a4dd-4121-8717-b9e09759001b,2026-07-21 11:37:05,8261,gpt-5.4,,60,4783,2,1510,1904,4655,225,f,f
